case,source,event_type,time_seconds
smc_117,GroundTruth,beat,0.394700000
smc_117,GroundTruth,beat,1.695000000
smc_117,GroundTruth,beat,3.101700000
smc_117,GroundTruth,beat,4.295600000
smc_117,GroundTruth,beat,5.642400000
smc_117,GroundTruth,beat,6.710500000
smc_117,GroundTruth,beat,7.801900000
smc_117,GroundTruth,beat,8.846800000
smc_117,GroundTruth,beat,9.984500000
smc_117,GroundTruth,beat,10.959000000
smc_117,GroundTruth,beat,11.865000000
smc_117,GroundTruth,beat,12.921000000
smc_117,GroundTruth,beat,14.071000000
smc_117,GroundTruth,beat,15.081000000
smc_117,GroundTruth,beat,15.998000000
smc_117,GroundTruth,beat,16.950000000
smc_117,GroundTruth,beat,17.972000000
smc_117,GroundTruth,beat,18.964000000
smc_117,GroundTruth,beat,19.899000000
smc_117,GroundTruth,beat,20.793000000
smc_117,GroundTruth,beat,21.594000000
smc_117,GroundTruth,beat,22.801000000
smc_117,GroundTruth,beat,23.777000000
smc_117,GroundTruth,beat,24.537000000
smc_117,GroundTruth,beat,25.356000000
smc_117,GroundTruth,beat,26.401000000
smc_117,GroundTruth,beat,27.376000000
smc_117,GroundTruth,beat,28.293000000
smc_117,GroundTruth,beat,29.257000000
smc_117,GroundTruth,beat,30.064000000
smc_117,GroundTruth,beat,30.905000000
smc_117,GroundTruth,beat,32.066000000
smc_117,GroundTruth,beat,33.250000000
smc_117,GroundTruth,beat,34.197000000
smc_117,GroundTruth,beat,35.271000000
smc_117,GroundTruth,beat,36.501000000
smc_117,GroundTruth,beat,37.569000000
smc_117,GroundTruth,beat,38.533000000
smc_117,GroundTruth,beat,39.381000000
smc_117,Direct,beat,0.460000000
smc_117,Direct,beat,0.560000000
smc_117,Direct,beat,1.700000000
smc_117,Direct,beat,2.420000000
smc_117,Direct,beat,3.140000000
smc_117,Direct,beat,3.960000000
smc_117,Direct,beat,5.640000000
smc_117,Direct,beat,6.320000000
smc_117,Direct,beat,6.700000000
smc_117,Direct,beat,7.740000000
smc_117,Direct,beat,8.340000000
smc_117,Direct,beat,8.940000000
smc_117,Direct,beat,10.040000000
smc_117,Direct,beat,11.100000000
smc_117,Direct,beat,11.860000000
smc_117,Direct,beat,14.080000000
smc_117,Direct,beat,15.100000000
smc_117,Direct,beat,16.000000000
smc_117,Direct,beat,16.940000000
smc_117,Direct,beat,17.900000000
smc_117,Direct,beat,19.020000000
smc_117,Direct,beat,19.920000000
smc_117,Direct,beat,20.760000000
smc_117,Direct,beat,21.600000000
smc_117,Direct,beat,22.880000000
smc_117,Direct,beat,23.860000000
smc_117,Direct,beat,25.400000000
smc_117,Direct,beat,27.100000000
smc_117,Direct,beat,27.400000000
smc_117,Direct,beat,28.300000000
smc_117,Direct,beat,29.240000000
smc_117,Direct,beat,30.180000000
smc_117,Direct,beat,30.940000000
smc_117,Direct,beat,32.440000000
smc_117,Direct,beat,33.360000000
smc_117,Direct,beat,34.360000000
smc_117,Direct,beat,35.260000000
smc_117,Direct,beat,36.080000000
smc_117,Direct,beat,36.540000000
smc_117,Direct,beat,37.620000000
smc_117,Direct,beat,38.540000000
smc_117,Direct,beat,39.440000000
smc_117,Direct,downbeat,0.460000000
smc_117,Direct,downbeat,0.560000000
smc_117,Direct,downbeat,3.140000000
smc_117,Direct,downbeat,5.640000000
smc_117,Direct,downbeat,7.740000000
smc_117,Direct,downbeat,10.040000000
smc_117,Direct,downbeat,11.860000000
smc_117,Direct,downbeat,14.080000000
smc_117,Direct,downbeat,16.000000000
smc_117,Direct,downbeat,17.900000000
smc_117,Direct,downbeat,19.920000000
smc_117,Direct,downbeat,21.600000000
smc_117,Direct,downbeat,23.860000000
smc_117,Direct,downbeat,25.400000000
smc_117,Direct,downbeat,29.240000000
smc_117,Direct,downbeat,30.940000000
smc_117,Direct,downbeat,33.360000000
smc_117,Direct,downbeat,35.260000000
smc_117,Direct,downbeat,37.620000000
smc_117,Direct,downbeat,39.440000000
smc_117,Fixed Semi-Markov,beat,1.980000000
smc_117,Fixed Semi-Markov,beat,2.820000000
smc_117,Fixed Semi-Markov,beat,3.740000000
smc_117,Fixed Semi-Markov,beat,4.720000000
smc_117,Fixed Semi-Markov,beat,5.740000000
smc_117,Fixed Semi-Markov,beat,6.700000000
smc_117,Fixed Semi-Markov,beat,7.580000000
smc_117,Fixed Semi-Markov,beat,8.600000000
smc_117,Fixed Semi-Markov,beat,9.500000000
smc_117,Fixed Semi-Markov,beat,10.420000000
smc_117,Fixed Semi-Markov,beat,11.380000000
smc_117,Fixed Semi-Markov,beat,12.240000000
smc_117,Fixed Semi-Markov,beat,13.140000000
smc_117,Fixed Semi-Markov,beat,14.080000000
smc_117,Fixed Semi-Markov,beat,15.100000000
smc_117,Fixed Semi-Markov,beat,16.000000000
smc_117,Fixed Semi-Markov,beat,16.940000000
smc_117,Fixed Semi-Markov,beat,17.900000000
smc_117,Fixed Semi-Markov,beat,18.860000000
smc_117,Fixed Semi-Markov,beat,19.920000000
smc_117,Fixed Semi-Markov,beat,20.760000000
smc_117,Fixed Semi-Markov,beat,21.600000000
smc_117,Fixed Semi-Markov,beat,22.580000000
smc_117,Fixed Semi-Markov,beat,23.580000000
smc_117,Fixed Semi-Markov,beat,24.500000000
smc_117,Fixed Semi-Markov,beat,25.400000000
smc_117,Fixed Semi-Markov,beat,26.240000000
smc_117,Fixed Semi-Markov,beat,27.100000000
smc_117,Fixed Semi-Markov,beat,27.980000000
smc_117,Fixed Semi-Markov,beat,28.800000000
smc_117,Fixed Semi-Markov,beat,29.700000000
smc_117,Fixed Semi-Markov,beat,30.520000000
smc_117,Fixed Semi-Markov,beat,31.400000000
smc_117,Fixed Semi-Markov,beat,32.440000000
smc_117,Fixed Semi-Markov,beat,33.360000000
smc_117,Fixed Semi-Markov,beat,34.360000000
smc_117,Fixed Semi-Markov,beat,35.260000000
smc_117,Fixed Semi-Markov,beat,36.200000000
smc_117,Fixed Semi-Markov,beat,37.080000000
smc_117,Fixed Semi-Markov,beat,38.080000000
smc_117,DBN,beat,0.460000000
smc_117,DBN,beat,1.080000000
smc_117,DBN,beat,1.700000000
smc_117,DBN,beat,2.420000000
smc_117,DBN,beat,3.140000000
smc_117,DBN,beat,3.900000000
smc_117,DBN,beat,4.600000000
smc_117,DBN,beat,5.080000000
smc_117,DBN,beat,5.640000000
smc_117,DBN,beat,6.220000000
smc_117,DBN,beat,6.700000000
smc_117,DBN,beat,7.260000000
smc_117,DBN,beat,7.780000000
smc_117,DBN,beat,8.340000000
smc_117,DBN,beat,8.940000000
smc_117,DBN,beat,9.500000000
smc_117,DBN,beat,10.040000000
smc_117,DBN,beat,10.600000000
smc_117,DBN,beat,11.100000000
smc_117,DBN,beat,11.620000000
smc_117,DBN,beat,12.120000000
smc_117,DBN,beat,12.580000000
smc_117,DBN,beat,13.120000000
smc_117,DBN,beat,13.560000000
smc_117,DBN,beat,14.080000000
smc_117,DBN,beat,14.620000000
smc_117,DBN,beat,15.100000000
smc_117,DBN,beat,15.600000000
smc_117,DBN,beat,16.000000000
smc_117,DBN,beat,16.460000000
smc_117,DBN,beat,16.940000000
smc_117,DBN,beat,17.440000000
smc_117,DBN,beat,18.200000000
smc_117,DBN,beat,19.020000000
smc_117,DBN,beat,19.920000000
smc_117,DBN,beat,20.760000000
smc_117,DBN,beat,21.600000000
smc_117,DBN,beat,22.400000000
smc_117,DBN,beat,23.380000000
smc_117,DBN,beat,24.460000000
smc_117,DBN,beat,25.400000000
smc_117,DBN,beat,26.320000000
smc_117,DBN,beat,27.400000000
smc_117,DBN,beat,28.280000000
smc_117,DBN,beat,29.240000000
smc_117,DBN,beat,30.140000000
smc_117,DBN,beat,30.940000000
smc_117,DBN,beat,32.080000000
smc_117,DBN,beat,33.360000000
smc_117,DBN,beat,34.420000000
smc_117,DBN,beat,35.620000000
smc_117,DBN,beat,36.540000000
smc_117,DBN,beat,37.620000000
smc_117,DBN,beat,38.560000000
smc_117,DBN,beat,39.460000000
smc_117,DBN,downbeat,0.460000000
smc_117,DBN,downbeat,3.140000000
smc_117,DBN,downbeat,5.640000000
smc_117,DBN,downbeat,7.780000000
smc_117,DBN,downbeat,10.040000000
smc_117,DBN,downbeat,12.120000000
smc_117,DBN,downbeat,14.080000000
smc_117,DBN,downbeat,16.000000000
smc_117,DBN,downbeat,18.200000000
smc_117,DBN,downbeat,21.600000000
smc_117,DBN,downbeat,25.400000000
smc_117,DBN,downbeat,29.240000000
smc_117,DBN,downbeat,33.360000000
smc_117,DBN,downbeat,37.620000000
smc_117,PLPDP (30-300 BPM),beat,0.000000000
smc_117,PLPDP (30-300 BPM),beat,0.460000000
smc_117,PLPDP (30-300 BPM),beat,1.180000000
smc_117,PLPDP (30-300 BPM),beat,1.700000000
smc_117,PLPDP (30-300 BPM),beat,2.420000000
smc_117,PLPDP (30-300 BPM),beat,3.140000000
smc_117,PLPDP (30-300 BPM),beat,3.960000000
