case,time_seconds,casm_local_tau_seconds,tempo_bpm,reliability_proxy,fixed_global_tau_seconds
gtzan_blues_00023,0.200000000,0.620000000,96.774000000,0.249440000,0.620000000
gtzan_blues_00023,0.800000000,0.620000000,96.774000000,0.231780000,0.620000000
gtzan_blues_00023,1.400000000,0.620000000,96.774000000,0.214220000,0.620000000
gtzan_blues_00023,2.020000000,0.620000000,96.774000000,0.201440000,0.620000000
gtzan_blues_00023,2.640000000,0.620000000,96.774000000,0.190090000,0.620000000
gtzan_blues_00023,3.260000000,0.620000000,96.774000000,0.180830000,0.620000000
gtzan_blues_00023,3.880000000,0.620000000,96.774000000,0.175000000,0.620000000
gtzan_blues_00023,4.520000000,0.620000000,96.774000000,0.172620000,0.620000000
gtzan_blues_00023,5.140000000,0.620000000,96.774000000,0.140280000,0.620000000
gtzan_blues_00023,5.740000000,0.620000000,96.774000000,0.140280000,0.620000000
gtzan_blues_00023,6.360000000,0.620000000,96.774000000,0.140280000,0.620000000
gtzan_blues_00023,6.980000000,0.620000000,96.774000000,0.141690000,0.620000000
gtzan_blues_00023,7.600000000,0.620000000,96.774000000,0.141690000,0.620000000
gtzan_blues_00023,8.220000000,0.620000000,96.774000000,0.143010000,0.620000000
gtzan_blues_00023,8.840000000,0.620000000,96.774000000,0.146330000,0.620000000
gtzan_blues_00023,9.440000000,0.620000000,96.774000000,0.146330000,0.620000000
gtzan_blues_00023,10.040000000,0.620000000,96.774000000,0.170970000,0.620000000
gtzan_blues_00023,10.640000000,0.620000000,96.774000000,0.192010000,0.620000000
gtzan_blues_00023,11.260000000,0.620000000,96.774000000,0.192010000,0.620000000
gtzan_blues_00023,11.860000000,0.620000000,96.774000000,0.192810000,0.620000000
gtzan_blues_00023,12.500000000,0.620000000,96.774000000,0.192810000,0.620000000
gtzan_blues_00023,13.120000000,0.620000000,96.774000000,0.192290000,0.620000000
gtzan_blues_00023,13.760000000,0.620000000,96.774000000,0.192290000,0.620000000
gtzan_blues_00023,14.400000000,0.620000000,96.774000000,0.192810000,0.620000000
gtzan_blues_00023,15.000000000,0.620000000,96.774000000,0.193810000,0.620000000
gtzan_blues_00023,15.620000000,0.620000000,96.774000000,0.193810000,0.620000000
gtzan_blues_00023,16.200000000,0.620000000,96.774000000,0.193810000,0.620000000
gtzan_blues_00023,16.820000000,0.620000000,96.774000000,0.178500000,0.620000000
gtzan_blues_00023,17.440000000,0.620000000,96.774000000,0.151110000,0.620000000
gtzan_blues_00023,18.040000000,0.620000000,96.774000000,0.120790000,0.620000000
gtzan_blues_00023,18.660000000,0.620000000,96.774000000,0.120790000,0.620000000
gtzan_blues_00023,19.260000000,0.620000000,96.774000000,0.120790000,0.620000000
gtzan_blues_00023,19.860000000,0.620000000,96.774000000,0.135040000,0.620000000
gtzan_blues_00023,20.460000000,0.620000000,96.774000000,0.144160000,0.620000000
gtzan_blues_00023,21.080000000,0.620000000,96.774000000,0.144880000,0.620000000
gtzan_blues_00023,21.700000000,0.620000000,96.774000000,0.154470000,0.620000000
gtzan_blues_00023,22.340000000,0.620000000,96.774000000,0.171340000,0.620000000
gtzan_blues_00023,22.960000000,0.620000000,96.774000000,0.173640000,0.620000000
gtzan_blues_00023,23.580000000,0.620000000,96.774000000,0.193990000,0.620000000
gtzan_blues_00023,24.200000000,0.620000000,96.774000000,0.203050000,0.620000000
gtzan_blues_00023,24.800000000,0.620000000,96.774000000,0.205560000,0.620000000
gtzan_blues_00023,25.420000000,0.620000000,96.774000000,0.205560000,0.620000000
gtzan_blues_00023,25.720000000,0.620000000,96.774000000,0.203050000,0.620000000
gtzan_blues_00023,26.020000000,0.620000000,96.774000000,0.199460000,0.620000000
gtzan_blues_00023,26.320000000,0.620000000,96.774000000,0.193500000,0.620000000
gtzan_blues_00023,26.620000000,0.620000000,96.774000000,0.184090000,0.620000000
gtzan_blues_00023,26.820000000,0.620000000,96.774000000,0.184090000,0.620000000
gtzan_blues_00023,26.920000000,0.620000000,96.774000000,0.180770000,0.620000000
gtzan_blues_00023,27.220000000,0.620000000,96.774000000,0.167850000,0.620000000
gtzan_blues_00023,27.540000000,0.620000000,96.774000000,0.167850000,0.620000000
gtzan_blues_00023,27.840000000,0.600000000,100.000000000,0.167850000,0.620000000
gtzan_blues_00023,28.140000000,0.600000000,100.000000000,0.167890000,0.620000000
gtzan_blues_00023,28.440000000,0.600000000,100.000000000,0.173770000,0.620000000
gtzan_blues_00023,28.760000000,0.600000000,100.000000000,0.173850000,0.620000000
gtzan_blues_00023,29.060000000,0.600000000,100.000000000,0.181660000,0.620000000
gtzan_blues_00023,29.340000000,0.600000000,100.000000000,0.181660000,0.620000000
gtzan_blues_00023,29.640000000,0.600000000,100.000000000,0.181660000,0.620000000
gtzan_blues_00023,29.900000000,0.600000000,100.000000000,0.163840000,0.620000000
gtzan_blues_00023,29.960000000,0.600000000,100.000000000,0.163790000,0.620000000
