case,source,midpoint_seconds,ibi_seconds
smc_221,GroundTruth,1.265250000,1.159100000
smc_221,GroundTruth,2.436650000,1.183700000
smc_221,GroundTruth,3.644850000,1.232700000
smc_221,GroundTruth,4.934650000,1.346900000
smc_221,GroundTruth,6.412200000,1.608200000
smc_221,GroundTruth,7.967300000,1.502000000
smc_221,GroundTruth,9.302000000,1.167400000
smc_221,GroundTruth,10.469350000,1.167300000
smc_221,GroundTruth,11.799500000,1.493000000
smc_221,GroundTruth,13.326000000,1.560000000
smc_221,GroundTruth,14.506000000,0.800000000
smc_221,GroundTruth,15.522000000,1.232000000
smc_221,GroundTruth,16.656500000,1.037000000
smc_221,GroundTruth,17.746500000,1.143000000
smc_221,GroundTruth,18.869000000,1.102000000
smc_221,GroundTruth,19.963000000,1.086000000
smc_221,GroundTruth,21.077000000,1.142000000
smc_221,GroundTruth,22.195000000,1.094000000
smc_221,GroundTruth,23.338000000,1.192000000
smc_221,GroundTruth,24.489000000,1.110000000
smc_221,GroundTruth,25.652500000,1.217000000
smc_221,GroundTruth,26.820000000,1.118000000
smc_221,GroundTruth,27.938000000,1.118000000
smc_221,GroundTruth,29.052500000,1.111000000
smc_221,GroundTruth,30.155000000,1.094000000
smc_221,GroundTruth,31.257000000,1.110000000
smc_221,GroundTruth,32.367000000,1.110000000
smc_221,GroundTruth,33.526000000,1.208000000
smc_221,GroundTruth,34.681000000,1.102000000
smc_221,GroundTruth,35.922000000,1.380000000
smc_221,GroundTruth,37.208000000,1.192000000
smc_221,GroundTruth,38.350500000,1.093000000
smc_221,GroundTruth,39.354500000,0.915000000
smc_221,Direct,2.440000000,3.520000000
smc_221,Direct,4.930000000,1.460000000
smc_221,Direct,6.260000000,1.200000000
smc_221,Direct,8.440000000,3.160000000
smc_221,Direct,10.640000000,1.240000000
smc_221,Direct,11.860000000,1.200000000
smc_221,Direct,13.260000000,1.600000000
smc_221,Direct,14.560000000,1.000000000
smc_221,Direct,15.630000000,1.140000000
smc_221,Direct,16.770000000,1.140000000
smc_221,Direct,17.850000000,1.020000000
smc_221,Direct,18.880000000,1.040000000
smc_221,Direct,19.960000000,1.120000000
smc_221,Direct,21.100000000,1.160000000
smc_221,Direct,21.990000000,0.620000000
smc_221,Direct,22.620000000,0.640000000
smc_221,Direct,23.490000000,1.100000000
smc_221,Direct,24.600000000,1.120000000
smc_221,Direct,25.730000000,1.140000000
smc_221,Direct,26.590000000,0.580000000
smc_221,Direct,27.150000000,0.540000000
smc_221,Direct,27.970000000,1.100000000
smc_221,Direct,29.050000000,1.060000000
smc_221,Direct,29.890000000,0.620000000
smc_221,Direct,30.480000000,0.560000000
smc_221,Direct,31.320000000,1.120000000
smc_221,Direct,32.460000000,1.160000000
smc_221,Direct,33.610000000,1.140000000
smc_221,Direct,34.470000000,0.580000000
smc_221,Direct,35.070000000,0.620000000
smc_221,Direct,36.000000000,1.240000000
smc_221,Direct,36.990000000,0.740000000
smc_221,Fixed Semi-Markov,1.920000000,1.000000000
smc_221,Fixed Semi-Markov,2.950000000,1.060000000
smc_221,Fixed Semi-Markov,4.020000000,1.080000000
smc_221,Fixed Semi-Markov,5.110000000,1.100000000
smc_221,Fixed Semi-Markov,6.190000000,1.060000000
smc_221,Fixed Semi-Markov,7.270000000,1.100000000
smc_221,Fixed Semi-Markov,8.380000000,1.120000000
smc_221,Fixed Semi-Markov,9.480000000,1.080000000
smc_221,Fixed Semi-Markov,10.640000000,1.240000000
smc_221,Fixed Semi-Markov,11.810000000,1.100000000
smc_221,Fixed Semi-Markov,12.900000000,1.080000000
smc_221,Fixed Semi-Markov,13.990000000,1.100000000
smc_221,Fixed Semi-Markov,15.090000000,1.100000000
smc_221,Fixed Semi-Markov,16.190000000,1.100000000
smc_221,Fixed Semi-Markov,17.450000000,1.420000000
smc_221,Fixed Semi-Markov,18.780000000,1.240000000
smc_221,Fixed Semi-Markov,19.960000000,1.120000000
smc_221,Fixed Semi-Markov,21.100000000,1.160000000
smc_221,Fixed Semi-Markov,22.310000000,1.260000000
smc_221,Fixed Semi-Markov,23.490000000,1.100000000
smc_221,Fixed Semi-Markov,24.600000000,1.120000000
smc_221,Fixed Semi-Markov,25.730000000,1.140000000
smc_221,Fixed Semi-Markov,26.860000000,1.120000000
smc_221,Fixed Semi-Markov,27.970000000,1.100000000
smc_221,Fixed Semi-Markov,29.050000000,1.060000000
smc_221,Fixed Semi-Markov,30.170000000,1.180000000
smc_221,Fixed Semi-Markov,31.320000000,1.120000000
smc_221,Fixed Semi-Markov,32.460000000,1.160000000
smc_221,Fixed Semi-Markov,33.580000000,1.080000000
smc_221,Fixed Semi-Markov,34.660000000,1.080000000
smc_221,Fixed Semi-Markov,35.710000000,1.020000000
smc_221,Fixed Semi-Markov,36.790000000,1.140000000
smc_221,Fixed Semi-Markov,37.880000000,1.040000000
smc_221,DBN (adjusted),1.540000000,1.720000000
smc_221,DBN (adjusted),3.310000000,1.820000000
smc_221,DBN (adjusted),4.950000000,1.460000000
smc_221,DBN (adjusted),6.530000000,1.700000000
smc_221,DBN (adjusted),8.160000000,1.560000000
smc_221,DBN (adjusted),9.480000000,1.080000000
smc_221,DBN (adjusted),10.510000000,0.980000000
smc_221,DBN (adjusted),11.340000000,0.680000000
smc_221,DBN (adjusted),12.070000000,0.780000000
smc_221,DBN (adjusted),12.830000000,0.740000000
smc_221,DBN (adjusted),13.640000000,0.880000000
smc_221,DBN (adjusted),14.580000000,1.000000000
smc_221,DBN (adjusted),15.600000000,1.040000000
smc_221,DBN (adjusted),16.430000000,0.620000000
smc_221,DBN (adjusted),17.040000000,0.600000000
smc_221,DBN (adjusted),17.850000000,1.020000000
smc_221,DBN (adjusted),18.880000000,1.040000000
smc_221,DBN (adjusted),19.960000000,1.120000000
smc_221,DBN (adjusted),21.100000000,1.160000000
smc_221,DBN (adjusted),21.990000000,0.620000000
smc_221,DBN (adjusted),22.620000000,0.640000000
smc_221,DBN (adjusted),23.210000000,0.540000000
smc_221,DBN (adjusted),23.760000000,0.560000000
